Profession,Count of Profession
patient,354
author,109
artist,73
person,61
singer,56
officer,55
director,53
president,51
child,51
friend,49
student,42
writer,39
agent,36
driver,32
captain,31
editor,30
coach,28
manager,26
user,23
pilot,23
physician,23
chief,22
producer,20
doctor,20
professor,20
surgeon,17
priest,16
teacher,16
painter,16
farmer,14
judge,14
journalist,12
lawyer,12
architect,12
scientist,11
photographer,11
guard,11
designer,10
guitarist,10
assistant,9
principal,8
dancer,8
nurse,8
sailor,7
clerk,5
magistrate,5
engineer,5
reporter,5
instructor,5
musician,5
dealer,5
politician,5
hunter,4
specialist,4
cook,4
cop,4
pathologist,4
chemist,3
executive,3
postmaster,3
developer,3
technician,3
investigator,3
dentist,3
bassist,3
detective,3
drummer,3
analyst,3
builder,3
trainer,3
carpenter,3
guide,3
astronomer,2
programmer,2
tailor,2
athlete,2
librarian,2
economist,2
counselor,2
caretaker,2
barber,2
pharmacist,2
psychologist,2
physiologist,2
secretary,2
attendant,2
baker,2
headmaster,2
surveyor,2
choreographer,2
maid,2
boss,2
educator,2
umpire,1
courier,1
janitor,1
physicist,1
hairdresser,1
accountant,1
therapist,1
entertainer,1
advisor,1
examiner,1
astronaut,1
announcer,1
geologist,1
bartender,1
teller,1
server,1
trader,1
anesthesiologist,1
breeder,1
undertaker,1
biologist,1
mechanic,1
administrator,1
plumber,1
